=== FCFS ===
PID,Arrival,Burst,Completion,TAT,WT
P1,0,8,8,8,0
P2,1,4,12,11,7
P3,2,9,21,19,10
P4,3,5,26,23,18
P5,4,2,28,24,22

=== SJF ===
PID,Arrival,Burst,Completion,TAT,WT
P1,0,8,8,8,0
P5,4,2,10,6,4
P2,1,4,14,13,9
P4,3,5,19,16,11
P3,2,9,28,26,17

=== RR Q=4 ===
PID,Arrival,Burst,Completion,TAT,WT
P2,1,4,8,7,3
P5,4,2,18,14,12
P1,0,8,22,22,14
P4,3,5,27,24,19
P3,2,9,28,26,17

=== DynRR Q=6 ===
PID,Arrival,Burst,Completion,TAT,WT
P2,1,4,10,9,5
P4,3,5,21,18,13
P5,4,2,23,19,17
P1,0,8,25,25,17
P3,2,9,28,26,17

=== Priority ===
PID,Arrival,Burst,Completion,TAT,WT
P1,0,8,8,8,0
P2,1,4,12,11,7
P4,3,5,17,14,9
P3,2,9,26,24,15
P5,4,2,28,24,22

=== COMPARISON SUMMARY ===
Algorithm,Avg WT,Avg TAT,CPU Util (%)
FCFS,11.40,17.00,100.00
SJF,8.20,13.80,100.00
RR (Q=4),13.00,18.60,100.00
Dyn-RR (Q=6),13.80,19.40,100.00
Priority,10.60,16.20,100.00
